county_code,activity_year,census_tract,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
48029,2020,48029170102,3802,0.9884,0.64,649,1389,73
48029,2020,48029181818,5901,0.6363,0.96,1148,1564,26
48029,2020,48029131801,2518,0.228,1.28,755,943,25
48029,2020,48029190100,3444,0.8185,0.49,390,1350,69
48029,2020,48029121506,4750,0.7423,0.72,885,1515,35
48029,2020,48029121119,5272,0.3957,0.99,1195,1721,31
48029,2020,48029181004,5285,0.6876,0.77,222,425,29
48029,2020,48029191004,4212,0.8438,0.51,423,713,44
48029,2020,48029181817,3452,0.7387,1.46,694,879,15
48029,2020,48029161400,7714,0.4362,0.98,0,423,10
48029,2020,48029141101,4456,0.8546,0.53,252,931,18
48029,2020,48029180202,4879,0.7889,0.82,926,1504,47
48029,2020,48029121110,5423,0.4907,1.37,1481,1783,24
48029,2020,48029140500,3977,0.8728,0.65,886,1563,72
48029,2020,48029121604,8383,0.5885,1.02,1792,2696,21
48029,2020,48029121908,2765,0.408,1.77,790,982,13
48029,2020,48029180101,5012,0.8651,0.83,1257,2083,69
48029,2020,48029192100,2879,0.6044,1.64,720,1016,76
48029,2020,48029171601,4609,0.9369,0.48,826,1236,36
48029,2020,48029120501,8841,0.7619,0.73,1367,2528,44
48029,2020,48029191102,2646,0.466,1.73,666,739,48
48029,2020,48029151900,6117,0.9588,0.72,960,1342,16
48029,2020,48029181811,4072,0.5666,1.27,1049,1391,23
48029,2020,48029171912,6569,0.7443,1.49,1800,1984,15
48029,2020,48029131802,5240,0.4769,1.26,1453,1818,27
48029,2020,48029192000,5317,0.5674,0.59,559,1644,55
48029,2020,48029121813,1467,0.456,1.08,507,606,29
48029,2020,48029190800,1990,0.2327,3.38,601,869,70
48029,2020,48029171200,4693,0.9531,0.53,835,1332,49
48029,2020,48029121205,4598,0.7029,0.59,503,899,38
48029,2020,48029180102,1924,0.7552,1.03,488,881,71
48029,2020,48029140700,5100,0.8469,0.74,1112,1617,57
48029,2020,48029121116,5524,0.4835,1.05,1232,1784,34
48029,2020,48029171915,2303,0.7212,1.19,531,730,34
48029,2020,48029121404,4853,0.8461,0.54,783,1530,38
48029,2020,48029180400,4488,0.9022,0.57,487,979,50
48029,2020,48029180604,6387,0.7553,0.92,1203,1691,49
48029,2020,48029181808,1643,0.5733,0.64,218,432,25
48029,2020,48029131100,2239,0.9937,0.54,405,928,50
48029,2020,48029190503,3669,0.7443,0.76,809,1537,76
48029,2020,48029980003,1332,0.3183,0.75,0,367,22
48029,2020,48029131608,5764,0.8059,0.82,819,1299,13
48029,2020,48029161504,4590,0.9272,0.63,707,1257,42
48029,2020,48029151000,3438,0.9485,0.52,609,1082,60
48029,2020,48029120701,5261,0.6603,0.73,737,1427,48
48029,2020,48029161304,4139,0.9795,0.48,724,1181,35
48029,2020,48029181731,7510,0.6445,1.34,2191,2471,28
48029,2020,48029120100,6568,0.5245,1.0,10,1048,21
48029,2020,48029171402,5780,0.9645,0.56,1257,1647,44
48029,2020,48029161901,1093,0.7118,0.71,197,395,46
48029,2020,48029181601,3192,0.8481,0.96,564,827,44
48029,2020,48029150501,4950,0.9925,0.53,910,1387,59
48029,2020,48029121204,7269,0.603,0.71,825,1325,36
48029,2020,48029180201,4616,0.8882,0.56,671,1361,56
48029,2020,48029120902,7098,0.5866,0.89,792,1417,32
48029,2020,48029130700,2262,0.8983,0.64,270,628,55
48029,2020,48029110700,1673,0.902,0.63,159,463,69
48029,2020,48029110600,5097,0.9111,0.35,181,725,36
48029,2020,48029120800,6588,0.2362,1.75,2332,2696,52
48029,2020,48029131700,1120,0.3045,1.41,2,289,76
48029,2020,48029121115,5305,0.3683,1.71,1799,2196,33
48029,2020,48029191412,2362,0.2697,2.67,748,834,19
48029,2020,48029121804,7444,0.6146,0.97,1012,1715,32
48029,2020,48029162001,2162,0.7613,0.74,452,669,33
48029,2020,48029191506,5548,0.4959,1.43,1213,1504,28
48029,2020,48029150400,3863,0.9286,0.58,747,1400,63
48029,2020,48029141403,4217,0.7894,0.74,779,1233,57
48029,2020,48029131611,1225,0.72,1.25,316,396,28
