race_ethnicity,county_code,derived_sex,applicant_age,state_code,occupancy_type
Hispanic or Latino,48209,Male,35-44,TX,Principal Residence
Missing,48027,Female,45-54,WA,Investment
White,48181,Joint,55-64,NY,Second Residence
Asian,48491,Prefer not to say,25-34,,
African American,48291,,65-74,,
Other,48121,,>74,,
Native American,48157,,<25,,
Joint,48467,,Prefer not to say,,
Pacific Islander,48339,,,,
,48029,,,,
,48201,,,,
,53033,,,,
,48459,,,,
,48179,,,,
,48451,,,,
,48231,,,,
,48453,,,,
,48039,,,,
,48061,,,,
,48085,,,,
,48481,,,,
,48089,,,,
,48323,,,,
,48183,,,,
,48497,,,,
,48367,,,,
,48021,,,,
,48423,,,,
,48113,,,,
,48309,,,,
,48361,,,,
,48347,,,,
,48117,,,,
,48203,,,,
,48365,,,,
,48439,,,,
,48257,,,,
,48041,,,,
,48477,,,,
,53029,,,,
,48303,,,,
,48013,,,,
,53011,,,,
,48381,,,,
,48265,,,,
,48071,,,,
,53063,,,,
,36087,,,,
,48479,,,,
,48135,,,,
,48251,,,,
,48141,,,,
,36071,,,,
,36119,,,,
,36029,,,,
,36081,,,,
,36079,,,,
,36041,,,,
,36059,,,,
,36067,,,,
,36085,,,,
,36027,,,,
,48097,,,,
,48187,,,,
,48355,,,,
,53073,,,,
,48397,,,,
,53061,,,,
,48329,,,,
,36001,,,,
,36091,,,,
,36083,,,,
,48067,,,,
,36103,,,,
,48221,,,,
,53053,,,,
,48159,,,,
,48343,,,,
,36065,,,,
,36055,,,,
,36095,,,,
,48215,,,,
,48025,,,,
,36111,,,,
,48139,,,,
,53041,,,,
,36005,,,,
,36117,,,,
,48031,,,,
,48277,,,,
,53067,,,,
,48325,,,,
,48401,,,,
,48147,,,,
,53019,,,,
,53071,,,,
,36105,,,,
,48485,,,,
,48167,,,,
,48057,,,,
,53005,,,,
,48465,,,,
,53037,,,,
,48091,,,,
,48407,,,,
,48233,,,,
,48165,,,,
,53047,,,,
,53025,,,,
,53035,,,,
,48441,,,,
,48299,,,,
,36061,,,,
,36107,,,,
,48271,,,,
,36013,,,,
,48245,,,,
,53015,,,,
,48055,,,,
,48083,,,,
,48105,,,,
,48185,,,,
,53075,,,,
,48225,,,,
,48037,,,,
,36063,,,,
,48199,,,,
,36069,,,,
,48427,,,,
,36047,,,,
,53077,,,,
,36037,,,,
,36115,,,,
,48241,,,,
,36077,,,,
,36017,,,,
,48249,,,,
,53027,,,,
,36075,,,,
,36073,,,,
,48239,,,,
,36089,,,,
,48383,,,,
,48213,,,,
,36019,,,,
,48469,,,,
,36099,,,,
,48499,,,,
,48005,,,,
,53031,,,,
,53021,,,,
,36003,,,,
,48081,,,,
,48143,,,,
,48409,,,,
,48471,,,,
,36039,,,,
,48007,,,,
,48043,,,,
,48009,,,,
,48461,,,,
,53045,,,,
,36025,,,,
,48399,,,,
,36093,,,,
,48493,,,,
,48483,,,,
,53057,,,,
,36015,,,,
,36007,,,,
,36113,,,,
,48001,,,,
,53017,,,,
,36033,,,,
,36011,,,,
,36043,,,,
,48375,,,,
,53059,,,,
,48457,,,,
,48403,,,,
,48125,,,,
,48449,,,,
,48503,,,,
,48161,,,,
,48259,,,,
,48099,,,,
,36009,,,,
,48053,,,,
,48473,,,,
,48015,,,,
,36101,,,,
,36031,,,,
,36021,,,,
,36035,,,,
,48363,,,,
,53049,,,,
,53003,,,,
,48011,,,,
,48463,,,,
,48073,,,,
,53039,,,,
,36023,,,,
,48217,,,,
,36123,,,,
,48281,,,,
,48373,,,,
,48207,,,,
,48019,,,,
,48127,,,,
,48163,,,,
,36045,,,,
,48421,,,,
,48395,,,,
,48279,,,,
,48349,,,,
,48149,,,,
,36057,,,,
,48429,,,,
,48455,,,,
,48189,,,,
,53007,,,,
,48195,,,,
,48315,,,,
,48237,,,,
,48273,,,,
,36049,,,,
,48337,,,,
,48327,,,,
,48223,,,,
,48051,,,,
,36109,,,,
,48197,,,,
,48177,,,,
,48227,,,,
,48379,,,,
,36097,,,,
,53009,,,,
,48035,,,,
,48321,,,,
,48219,,,,
,48425,,,,
,48253,,,,
,36051,,,,
,48049,,,,
,48297,,,,
,36053,,,,
,48351,,,,
,53055,,,,
,48095,,,,
,48119,,,,
,48445,,,,
,48417,,,,
,48285,,,,
,53001,,,,
,48389,,,,
,48357,,,,
,36121,,,,
,48319,,,,
,48475,,,,
,48101,,,,
,48353,,,,
,48145,,,,
,48131,,,,
,48411,,,,
,48435,,,,
,48205,,,,
,48331,,,,
,48287,,,,
,48065,,,,
,48307,,,,
,48369,,,,
,48335,,,,
,48069,,,,
,48313,,,,
,48087,,,,
,48293,,,,
,48017,,,,
,48317,,,,
,48171,,,,
,48413,,,,
,48289,,,,
,48175,,,,
,48419,,,,
,48129,,,,
,48415,,,,
,48371,,,,
,48133,,,,
,48075,,,,
,48391,,,,
,48003,,,,
,48123,,,,
,48501,,,,
,53065,,,,
,48405,,,,
,48255,,,,
,48295,,,,
,48387,,,,
,48115,,,,
,48443,,,,
,48341,,,,
,53043,,,,
,48385,,,,
,48495,,,,
,48059,,,,
,48169,,,,
,53051,,,,
,48093,,,,
,48151,,,,
,48333,,,,
,48063,,,,
,48023,,,,
,53069,,,,
,53013,,,,
,48193,,,,
,48077,,,,
,48107,,,,
,48489,,,,
,53023,,,,
,48211,,,,
,48111,,,,
,48377,,,,
,48305,,,,
,48487,,,,
,48447,,,,
,48247,,,,
,48155,,,,
,48505,,,,
,48437,,,,
,48283,,,,
,48235,,,,
,48267,,,,
,48103,,,,
,48507,,,,
,48047,,,,
,48173,,,,
,48243,,,,
,48275,,,,
,48359,,,,
,48431,,,,
,48153,,,,
,48137,,,,
,48079,,,,
,48191,,,,
,48045,,,,
,48393,,,,
,48345,,,,
,48229,,,,
,48109,,,,
,48311,,,,
,48433,,,,
,48263,,,,
,48269,,,,
,48033,,,,
