,Feature,Coefficient,Abs_Coefficient
30,activity_year_2019,0.039424488317375196,0.039424488317375196
15,activity_year_2020,0.12816652295827927,0.12816652295827927
9,activity_year_2021,0.1717682136963007,0.1717682136963007
4,activity_year_2022,-0.354838079,0.35483807926832367
19,applicant_age_<25,-0.081662442,0.081662442
72,applicant_age_>74,-0.009917111,0.009917111
11,applicant_age_25-34,0.15997954403812661,0.15997954403812661
25,applicant_age_35-44,-0.052058792,0.052058792
8,applicant_age_45-54,-0.183977109,0.18397710932344777
16,applicant_age_55-64,-0.11673239,0.11673239021542282
65,applicant_age_65-74,-0.012472962,0.012472962302335043
501,applicant_age_9999,-5.46E-06,5.457460265606933e-06
540,county_code_00071,7.590034198482381e-07,7.590034198482381e-07
548,county_code_00073,5.547782609924915e-07,5.547782609924915e-07
476,county_code_00075,-1.11E-05,1.1064703679080413e-05
524,county_code_00079,1.1547452128636397e-06,1.1547452128636397e-06
534,county_code_00170,9.383946838606654e-07,9.383946838606654e-07
559,county_code_01021,0,0
512,county_code_01045,1.6342104932484166e-06,1.6342104932484166e-06
516,county_code_01069,1.3831090162746054e-06,1.3831090162746054e-06
527,county_code_01073,1.0791393376400059e-06,1.0791393376400059e-06
535,county_code_01083,9.078847295462717e-07,9.078847295462717e-07
565,county_code_01089,0,0
506,county_code_01117,2.8929850975722666e-06,2.8929850975722666e-06
514,county_code_01127,1.5807410410855455e-06,1.5807410410855455e-06
468,county_code_04013,-1.89E-05,1.885608882110854e-05
492,county_code_05053,-9.02E-06,9.024942555494965e-06
553,county_code_05059,3.6003013966517593e-07,3.6003013966517593e-07
569,county_code_05073,0,0
539,county_code_05091,8.084653541098812e-07,8.084653541098812e-07
522,county_code_05115,1.1896039049638589e-06,1.1896039049638589e-06
136,county_code_06001,0.003666301,0.003666301
464,county_code_06003,-2.48E-05,2.4841859161020002e-05
278,county_code_06005,0.000808106,0.000808106
138,county_code_06007,0.003606883,0.003606883
269,county_code_06009,0.000854184,0.000854184
356,county_code_06011,0.000345005,0.000345005
69,county_code_06013,0.010521914,0.010521914
374,county_code_06015,-0.000279359,0.000279359
181,county_code_06017,0.002249212,0.002249212
51,county_code_06019,0.016471971,0.016471971
344,county_code_06021,0.00040206,0.00040206
246,county_code_06023,0.001126199,0.001126199
